tracking_id	locus	3_Leukemic_FPKM	5_Leukemic_FPKM	6_Leukemic_FPKM	7_Leukemic_FPKM	9_pre-leukemic_FPKM	8_pre-leukemic_FPKM	10_pre-leukemic_FPKM	11_pre-leukemic_FPKM
1110004E09Rik	chr16:90925810-90934849	20.7975	21.7062	21.8656	29.7861	18.1615	19.062	18.7643	16.1208
1110004F10Rik	chr7:116093379-116105210	73.028	80.4109	65.1516	100.451	96.1795	96.4494	94.5173	100.088
1110006O24Rik	chr5:115631048-115631816	1.58499	1.24189	2.69624	1.02509	1.81211	0.952751	1.16605	1.16977
1110007C09Rik	chr13:49202950-49216026	7.24797	7.64754	7.00322	6.10702	5.79356	5.93693	6.69142	7.33005
1110008F13Rik	chr2:156863121-156887078	95.7818	111.017	122.006	125.441	104.261	103.651	105.551	95.8829
1110008L16Rik	chr12:55280813-55492647	6.62776	6.67795	6.74492	10.9877	6.81557	5.39442	6.38372	5.78234
1110008P14Rik	chr2:32379100-32381915	14.566	20.5909	20.1804	27.3602	19.3746	17.3044	21.544	20.8812
1110012L19Rik	chrX:70385912-70389416	10.6489	13.5017	12.274	13.9505	13.9265	15.5671	13.6273	15.1191
1110015O18Rik	chr3:4798707-4814911	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1110017D15Rik	chr4:41505008-41517333	0.01	0.0938638	0.01	0.01	0.01	0.01	0.01	0.141801
1110019D14Rik	chr6:13871568-13896421	1.05173	1.38896	0.855415	1.49931	1.32077	2.40175	1.73382	1.35869
1110020A21Rik	chr17:84917181-85023992	1.77702	2.55569	1.2215	1.48702	0.840532	1.03636	1.89368	1.46814
1110025L11Rik	chr16:89063409-89064002	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1110028F11Rik	chr11:87663086-87735539	0.052115	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1110028F18Rik	chr8:106587142-106594820	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1110032A03Rik	chr9:50762827-50768152	4.6916	5.13119	3.1614	4.98403	2.64391	3.38515	2.74817	4.1777
1110032F04Rik	chr3:68869585-68872163	1.31725	4.17582	4.60267	3.52242	2.30643	2.16736	3.28141	3.97968
1110034G24Rik	chr2:132690282-132751055	2.60799	5.57217	3.83363	4.66984	3.39908	3.67904	3.59922	3.52696
1110036E04Rik	chr9:64049828-64054100	0.01	0.111151	0.01	0.01	0.01	0.01	0.01	0.01
1110037F02Rik	chr4:11485957-11551143	24.2428	21.0141	22.319	22.4125	23.8996	26.3553	25.7637	26.3083
1110038B12Rik	chr17:34950235-34952471	244.34	202.344	279.453	300.485	128.966	96.9725	120.922	115.307
1110038F14Rik	chr15:76948543-76950731	31.2514	30.8126	32.4583	36.768	30.5615	27.1361	30.7015	30.0695
1110046J04Rik	chr13:33917917-34002794	0.01	0.333452	0.106188	0.504587	0.118921	0.117242	0.01	0.01
1110051M20Rik	chr2:91277827-91444642	7.32507	8.87503	4.44477	6.67682	6.97598	8.34608	6.79555	7.96416
1110058D11Rik	chr17:63863980-64139496	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1110059E24Rik	chr19:21597312-21652791	31.3237	25.9499	27.5689	34.1479	20.4947	22.0183	23.3064	26.3945
1110059G10Rik	chr9:122945088-122951000	10.045	9.14268	7.22385	12.2362	6.0508	6.28721	7.18987	7.28389
1110065P20Rik	chr4:124802548-124850730	11.8975	8.32899	8.283	10.5324	8.91321	7.58275	9.56141	8.6707
1190002F15Rik	chr6:134929091-134951718	71.9155	70.671	37.4294	62.0501	27.2075	40.4005	43.2467	38.9999
1190002N15Rik	chr9:94517863-94538081	12.9171	16.0359	6.37199	13.8495	9.88975	11.2516	13.0359	11.5535
1190003K10Rik	chr13:64481245-64497792	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1190005I06Rik	chr8:120608599-120668142	0.01	0.15673	0.01	0.01	0.01	0.01	0.01	0.01
1190007I07Rik	chr10:82619850-82623228	12.0042	10.9965	8.62253	14.0354	14.4947	12.3518	10.3941	9.51317
1200014J11Rik	chr11:73047866-73083579	12.3703	10.0474	11.5161	11.839	10.6697	11.0404	12.5801	11.4776
1300002E11Rik	chr16:21794346-21809039	15.4396	18.3453	13.8681	14.8509	22.1237	22.1638	18.8795	20.1332
1300017J02Rik	chr9:103250529-103288297	5.81429	23.3627	13.9408	0.140794	0.231292	2.64695	0.0696984	0.176826
1500004A13Rik	chr3:88777056-88832487	0.0190586	0.0188147	0.0180499	0.01	0.0199921	0.0395637	0.063102	0.0427632
1500009C09Rik	chr15:82252396-82260753	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1500009L16Rik	chr10:83722864-83762762	0.32615	1.10014	1.05323	3.32621	1.93197	3.9527	2.19811	2.44226
1500011B03Rik	chr5:114808195-114813976	21.6343	23.1292	23.8846	25.6916	23.5942	20.8911	20.3312	25.0312
1500011K16Rik	chr2:127791376-127792488	11.2766	20.2664	18.8651	20.6542	19.8765	19.4899	20.6807	21.0117
1500012F01Rik	chr2:167035795-167065862	117.847	165.137	177.619	176.9	136.481	97.4265	111.906	124.244
1500012K07Rik	chr7:75114894-75331419	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1500015A07Rik	chr18:61726389-61728253	1.99613	2.01354	1.67015	2.39867	2.22512	1.62963	2.87279	1.765
1500015L24Rik	chr19:20405287-20422785	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1500015O10Rik	chr1:43730601-43742564	0.01	0.01	0.01	0.01	0.199433	0.01	0.01	0.01
1500017E21Rik	chr19:36554638-36689479	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1500026H17Rik	chr10:89686362-89700866	0.01	0.01	0.01	0.01	0.01	0.01	0.0254622	0.025869
1600002D24Rik	chr16:95831122-95929077	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1600002H07Rik	chr17:24215055-24220769	10.0655	9.25542	9.15967	6.9159	5.43422	5.7928	6.55306	5.93047
1600002K03Rik	chr10:79697304-80369637	15.7483	17.3143	18.4138	18.9111	25.416	14.986	21.511	18.5371
1600010M07Rik	chr7:109998376-110006646	0.460497	0.614957	1.61252	0.465712	0.330024	0.324817	0.01	0.178
1600012H06Rik	chr17:14943183-14961260	12.9157	14.4102	14.6225	15.9703	14.8699	14.5127	14.5865	14.5588
1600014C10Rik	chr7:38183216-38197565	19.9401	24.7633	20.8753	30.0855	24.7069	21.9984	26.754	28.1435
1600014C23Rik	chr17:45732863-45733844	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1600014K23Rik	chrX:85249676-85270291	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1600015I10Rik	chr6:48929895-48933687	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1600019K03Rik	chr16:35503169-35509419	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1600020E01Rik	chr6:86527329-86564449	11.7231	11.5995	17.6476	11.3745	16.6698	11.8138	12.8307	11.3536
1600023N17Rik	chr5:45668700-45669708	0.40021	0.238606	0.0760928	0.120273	0.01	0.0838016	0.180847	0.01
1600025M17Rik	chrX:56317607-56320664	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1600027J07Rik	chr8:103343877-103347534	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1600029I14Rik	chr9:99456242-99568899	0.0971149	0.386709	0.184842	0.146249	0.01	0.203848	0.01	0.01
1600029O15Rik	chr9:58196296-58208808	0.01	0.01	0.0383776	0.01	0.0426151	0.01	0.01	0.01
1700001C02Rik	chr5:30466076-30484087	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700001C19Rik	chr17:47412733-47470638	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700001D01Rik	chr8:61224170-61396072	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700001F09Rik	chr14:43342383-43347811	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700001G01Rik	chr18:17035507-17137559	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700001G11Rik	chr14:66295328-66311424	0.452074	0.112702	0.107662	0.01	0.48238	0.356656	0.775966	0.259489
1700001G17Rik	chr1:33669823-33670712	0.842823	0.838714	0.891017	0.704818	0.995716	0.785887	0.744472	0.427972
1700001J03Rik	chr5:146182449-146185304	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700001J11Rik	chr9:40050557-40053025	0.0287671	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700001K19Rik	chr12:110667688-110682619	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700001K23Rik	chr19:53248735-53255205	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700001L05Rik	chr15:83353846-83367297	0.608938	1.63509	0.736554	0.201549	0.637872	0.654738	0.310224	0.404075
1700001L19Rik	chr13:68597438-68614231	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700001O22Rik	chr2:30795562-30803664	0.01	0.0810321	0.01	0.01	0.01	0.01	0.01	0.01
1700001P01Rik	chr11:97771480-97775918	0.602711	0.452603	0.719367	0.456985	0.485685	0.318717	0.350004	0.34921
1700003C15Rik	chr5:11749832-11769308	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700003D09Rik	chr11:98348737-98358283	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700003E16Rik	chr6:83156403-83162975	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700003E24Rik	chrX:93156153-93156871	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700003F12Rik	chr2:154544404-154558853	0.120496	0.360767	1.14839	0.182009	0.12875	0.126887	0.01	0.01
1700003G13Rik	chr9:45318265-45347580	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700003G18Rik	chr7:116081761-116093149	0.01	0.01	0.01	0.01	0.01	0.01	0.176723	0.01
1700003H04Rik	chr3:124565890-124581091	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700003I22Rik	chr1:56018977-56020203	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700003L19Rik	chr16:12811389-12848653	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700003M02Rik	chr4:34711331-34730206	0.01	0.01	0.01	0.01	0.01	0.01	0.0478147	0.01
1700003M07Rik	chr4:129960373-129965138	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700003P14Rik	chr13:118556167-118588629	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700006A11Rik	chr3:124401154-124426028	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700006E09Rik	chr11:101987055-101992264	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700006F04Rik	chr14:119138264-119869815	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700006H21Rik	chr13:107687396-107692168	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700007B14Rik	chr8:75448693-75984507	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700007F19Rik	chr3:58141706-58163807	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700007G11Rik	chr5:98329303-98802019	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700007J10Rik	chr11:59662494-59780860	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700007K09Rik	chr7:131325930-131329499	0.01	0.01	0.01	0.01	0.144188	0.142021	0.01	0.01
1700007K13Rik	chr2:28462000-28466324	0.106588	0.01	0.01	0.01	0.113599	0.01	0.01	0.01
1700007L15Rik	chr16:33379853-33380736	3.64168	2.22682	2.12681	2.66061	2.88537	3.95681	2.82788	3.10518
1700007P06Rik	chr1:187048406-187215446	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700008C04Rik	chr12:51005155-51062543	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700008J07Rik	chr7:127510437-127561219	2.42599	1.55985	0.941778	1.43993	1.13652	1.70138	1.23055	1.11766
1700008K24Rik	chr17:49112263-49113533	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700008O03Rik	chr7:44360044-44375030	0.01	0.0903235	0.0863719	0.01	0.01	0.190408	0.01	0.01
1700008P02Rik	chr3:6615412-6620443	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700009C05Rik	chr6:81900464-81910800	0.01	0.01	0.01	0.01	0.116893	0.01	0.01	0.01
1700009J07Rik	chr10:77893419-77896111	0.01	0.0899462	0.01	0.01	0.01	0.01	0.01	0.01
1700009N14Rik	chr4:39450292-39451778	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700010B08Rik	chr2:173719414-173722086	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700010D01Rik	chrX:95711677-95927970	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700010I02Rik	chr3:7925302-7954887	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700010I14Rik	chr17:8988332-9008319	2.83352	6.29754	6.22023	5.62763	4.86259	3.99972	6.2152	5.42572
1700010J16Rik	chr10:112726925-112785599	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700010K23Rik	chr16:66655420-67620908	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700011A15Rik	chr15:101431013-101491512	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700011B04Rik	chr13:35181622-35188014	1.14243	0.01	0.817726	0.01	0.01	0.01	0.01	0.01
1700011C11Rik	chr7:71947526-72027317	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700011E24Rik	chr17:87389570-87427741	0.01	0.01	0.01	0.150075	0.01	0.01	0.01	0.01
1700011H14Rik	chr14:49226358-49245428	0.201092	0.01	0.01	0.01	0.21278	0.140098	0.01	0.228253
1700011I03Rik	chr18:57533825-57731065	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700011L22Rik	chr8:79210429-79248583	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700011M02Rik	chrX:102908904-102909651	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700012A03Rik	chr6:32050287-32058915	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700012B07Rik	chr11:109788290-109828046	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700012B09Rik	chr9:14758193-14771030	0.01	0.01	0.126041	0.01	0.01	0.01	0.01	0.01
1700012C14Rik	chr6:30460984-30463313	0.01	0.01	0.01	0.01	0.01	0.226198	0.01	0.01
1700012D01Rik	chr10:127667122-127668851	0.777258	0.129411	0.370592	0.01	1.10917	0.819544	0.895219	0.895954
1700012D14Rik	chr7:111117672-111122675	0.297933	0.894761	0.853346	0.677541	1.12004	0.47253	0.172897	1.03529
1700012D16Rik	chr3:153202508-153725133	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700012H19Rik	chr11:112822964-112825128	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700012I11Rik	chr15:67226768-67377094	0.01	0.01	0.01	0.231688	0.01	0.0807121	0.01	0.0877571
1700012L04Rik	chrX:9272783-9313245	0.390008	0.01	0.01	0.01	0.01	0.207567	0.01	0.228499
1700012P22Rik	chr4:144418190-144438772	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700013D24Rik	chr6:124347593-124357086	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700013F07Rik	chr3:108537583-108544697	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700013G24Rik	chr4:137453295-137455461	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700013H16Rik	chrX:53742900-53757831	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700015E13Rik	chr1:170308860-170312125	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700015F17Rik	chr5:5437826-5479143	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700015G11Rik	chr7:52011679-52015716	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700016C15Rik	chr1:177729813-177753305	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700016D06Rik	chr8:11654923-11678750	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700016G22Rik	chr13:5855508-5858092	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700016H13Rik	chr5:103648586-103655732	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700016K19Rik	chr11:75999911-76003569	0.358215	0.01	1.1926	0.269462	0.475742	0.375549	0.101543	0.204427
1700016L04Rik	chr10:14705608-14759019	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700016L21Rik	chr1:80445931-80475660	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700016P04Rik	chr6:13413336-13415996	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700017B05Rik	chr9:57252321-57262599	27.6341	15.3504	22.0556	20.051	18.1437	16.2655	16.3301	15.1565
1700017D01Rik	chr19:11096815-11130878	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700017G19Rik	chr3:40504864-40522912	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700017J07Rik	chr2:168978268-168978906	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700017L05Rik	chr5:77465487-77468857	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700017N19Rik	chr10:100592385-100618391	0.0436766	0.01	0.01	0.0653235	0.01	0.01	0.01	0.01
1700018A04Rik	chr13:31565491-31582513	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700018B08Rik	chr8:121530783-121541954	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700018B24Rik	chr3:48605730-48609100	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700018C11Rik	chr4:63607090-63622429	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700018F24Rik	chr5:145042989-145045678	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700018G05Rik	chrX:102928371-102929107	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700018L02Rik	chr19:28990351-29048729	0.309813	0.307256	0.176518	0.0928903	0.32752	0.194119	0.417077	0.140489
1700019A02Rik	chr1:53158576-53187617	0.01	0.01	0.01	0.01	0.160756	0.01	0.173733	0.01
1700019B03Rik	chr8:3470861-3487178	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700019B21Rik	chrX:62510538-62527011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700019C18Rik	chr13:35210659-35212048	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700019D03Rik	chr1:52925126-52952840	5.28481	6.27579	4.06334	10.8729	6.92598	7.25782	8.45195	8.95847
1700019E08Rik	chr2:45696604-45698447	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700019G17Rik	chr6:85899049-85904938	1.40894	0.157115	1.24859	0.338965	0.808612	0.306793	0.623012	0.229656
1700019G24Rik	chr6:5725638-6028039	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700019L03Rik	chr2:32775820-32784405	0.0441175	0.01	0.0418475	0.01	0.185953	0.0919089	0.01	0.049797
1700019M22Rik	chr12:96046620-96047222	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700019N19Rik	chr19:58785802-58794414	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700019O17Rik	chr1:86426328-86428049	0.01	0.01	0.01	0.01	0.01	0.01	0.0953123	0.01
1700020A23Rik	chr2:130405258-130406074	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700020D05Rik	chr19:5495277-5510489	0.315926	1.02014	0.525557	0.71198	0.921294	0.992143	0.356755	0.539474
1700020G17Rik	chr10:110801173-110896507	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700020I14Rik	chr2:119594295-119600744	38.2484	47.9249	43.5612	37.0049	43.1263	50.0277	46.7278	50.7679
1700020L24Rik	chr11:83437693-83441232	0.441735	0.439331	0.252094	0.398684	0.281537	0.185212	0.200255	0.100806
1700020M21Rik	chr9:120913773-120915250	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700020N01Rik	chr10:21593144-21622375	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700020N15Rik	chrX:69929259-70143588	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700020N18Rik	chr1:91404878-91406029	0.01	0.01	0.350264	0.01	0.197853	0.01	0.01	0.01
1700021F05Rik	chr10:43525120-43540994	15.7179	13.3394	13.7224	22.2645	13.0721	15.7096	15.8482	14.7846
1700021F07Rik	chr2:173522591-173528502	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700021K19Rik	chr16:32821701-32868366	6.54466	4.16516	4.89599	4.49253	4.65238	5.8156	5.25619	5.72133
1700021N21Rik	chr4:134448764-134450171	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700022A21Rik	chr5:24645452-24648860	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700022A22Rik	chr15:46324584-46373899	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700022E09Rik	chr16:59466871-59469238	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700022H01Rik	chr10:61674526-61680290	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700022H16Rik	chr12:9565235-9570585	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700022I11Rik	chr4:42969945-42974325	0.01	0.0182977	0.01	0.01	0.01	0.01	0.01	0.01
1700023C21Rik	chr11:109845877-109848476	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700023F02Rik	chr10:66120608-66124064	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700023F06Rik	chr11:103198943-103218432	0.01	0.0643916	0.01	0.01	0.01	0.01	0.01	0.01
1700024B18Rik	chr14:123978290-124677127	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700024F13Rik	chr13:3498049-3501393	1.09246	0.273044	0.130277	0.2067	0.292686	0.432396	0.946311	0.01
1700024G13Rik	chr14:32376501-32388373	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700024I08Rik	chr13:63675755-63734298	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700024N05Rik	chr6:43162453-43174920	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700024P04Rik	chr13:98984089-98984565	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700024P16Rik	chr4:104913455-105016863	0.0455193	0.157364	0.150942	0.101853	0.286733	0.0945524	0.391234	0.272241
1700025B11Rik	chr15:77558239-77561892	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700025C18Rik	chr2:165078692-165090750	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700025F22Rik	chr19:11139682-11165320	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700025F24Rik	chr10:119413443-119426864	0.01	0.185046	0.01	0.139952	0.296561	0.39012	0.527859	0.212434
1700025G04Rik	chr1:151884523-152090320	2.27568	1.6557	1.32979	1.12238	2.13798	3.03271	2.41719	1.83248
1700025J12Rik	chr7:121589902-121591591	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700025K24Rik	chr17:54352582-54370074	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700025M24Rik	chr5:73268579-73284184	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700025N23Rik	chr6:38918985-39084579	0.01	0.01	0.01	0.01	0.01	0.01	0.104345	0.01
1700026D08Rik	chr7:83775616-83794839	0.01	0.01	0.01	0.01	0.0626881	0.01	0.01	0.01
1700026D11Rik	chr2:132490727-132524057	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700026F02Rik	chr8:71006727-71026755	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700026J14Rik	chr6:48536581-48537474	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700026L06Rik	chr2:28692079-28699651	0.01	0.271895	0.01	0.01	0.01	0.143523	0.314058	0.15701
1700027A15Rik	chr1:73016035-73025508	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700027F06Rik	chr6:124363281-124364486	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1700027F09Rik	chr5:64454812-64467942	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
